miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.375545	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.375545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.502180	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	19	3.567677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	840	157.728884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2220	416.854909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14997	2816.023903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	300	56.331744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	2.065497	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.187772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.375545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.751090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.187772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.375545	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.187772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.502180	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	5.257629	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	7.698672	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.375545	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.187772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.751090	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.187772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	2	0.375545	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.375545	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	30	5.633174	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	1.689952	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.751090	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	280	52.576295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.187772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	0.751090	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.563317	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14970	2810.954046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.126635	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2134	400.706475	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.126635	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	803	150.781303	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.751090	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	25	4.694312	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.375545	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.187772	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	27	5.069857	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	53	9.951942	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	62	11.641894	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.375545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	14	2.628815	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	773	145.148128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2180	409.344009	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15072	2830.106839	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	332	62.340464	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.563317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.187772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.563317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.187772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	1.314407	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	23	4.318767	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	43	8.074217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.187772	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.187772	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.375545	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	5	0.938862	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.187772	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	0.938862	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	577	108.344722	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12489	2345.090519	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5907	1109.172047	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	24467	4594.229301	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4126	774.749258	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.375545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.563317	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.187772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.187772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	0.751090	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.187772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.187772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.187772	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	2.816587	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	79	14.834026	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.187772	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	5	0.938862	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	23	4.318767	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	89	16.711751	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	68	12.768529	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	298	55.956199	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	6	1.126635	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	0.751090	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	4	0.751090	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.187772	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	18	3.379905	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	52	9.764169	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	439	82.432119	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	39	7.323127	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.187772	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	4	0.751090	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.187772	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	49	9.200852	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	187	35.113454	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1063	199.602148	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	0.751090	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.187772	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	14	2.628815	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	72	13.519619	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	0.375545	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	3	0.563317	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.187772	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.187772	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.375545	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	2	0.375545	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	57	10.703031	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	284	53.327385	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1351	253.680622	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	37	6.947582	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	3	0.563317	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692858:+	2	0.375545	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	2	0.375545	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	3	0.563317	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	11	2.065497	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	36	6.759809	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	2	0.375545	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	88	16.523978	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	572	107.405859	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	5256	986.932162	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	14	2.628815	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	0.375545	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	0.563317	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.187772	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	9	1.689952	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.187772	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.187772	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	120	22.532698	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	5185	973.600316	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	3	0.563317	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	579	108.720267	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	2	0.375545	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	102	19.152793	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	6	1.126635	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	1	0.187772	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	2	0.375545	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	3	0.563317	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	7	1.314407	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557290:-	1	0.187772	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557291:-	1	0.187772	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557293:-	1	0.187772	N	precursor
hsa-let-7g	hg38:chr3:52268279-52268301:-	1	0.187772	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	40	7.510899	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	2	0.375545	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	19	3.567677	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.187772	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	451	84.685389	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	10	1.877725	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	67	12.580756	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	5	0.938862	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	1	0.187772	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603668-62603691:+	1	0.187772	N	precursor
hsa-let-7i	hg38:chr12:62603669-62603691:+	3	0.563317	N	precursor
hsa-let-7i	hg38:chr12:62603672-62603691:+	1	0.187772	N	precursor
hsa-let-7i	hg38:chr12:62603673-62603691:+	1	0.187772	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.187772	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	6	1.126635	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	204	38.305586	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	161	30.231369	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	314	58.960559	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	1	0.187772	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	2	0.375545	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	2	0.375545	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603712:+	1	0.187772	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	46	8.637534	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	52	9.764169	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	97	18.213931	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554371:+	5	0.938862	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554372:+	2	0.375545	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	36	6.759809	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829013-21829037:-	1	0.187772	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829014-21829037:-	6	1.126635	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	32	6.008719	N	mature,MIMAT0000416
