miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	0.924724	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.154121	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.770603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	0.770603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	19	2.928293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	124	19.110964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4205	648.077452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9664	1489.422235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26026	4011.144774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	617	95.092459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	3.698896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.232965	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	2.620052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.308241	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.770603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.154121	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.154121	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	2.928293	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	62	9.555482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	50	7.706034	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.308241	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.154121	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.308241	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.154121	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.616483	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.154121	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.154121	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	0.924724	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.232965	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	8	1.232965	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.154121	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	1.387086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	634	97.712510	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.462362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	16	2.465931	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.616483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	25898	3991.417328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	1.387086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.616483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.308241	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9497	1463.684082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	1.849448	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4161	641.296143	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	7	1.078845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	119	18.340361	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.154121	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.308241	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.308241	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	48	7.397793	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	74	11.404930	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	49	7.551913	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.308241	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	98	15.103826	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4268	657.787055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9742	1501.443648	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	26259	4047.054893	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	634	97.712510	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.462362	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	0.770603	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	0.924724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	16	2.465931	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	0.770603	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.154121	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	0.308241	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	24	3.698896	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	61	9.401361	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	41	6.318948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.308241	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.154121	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.154121	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.462362	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.462362	N	mature,MIMAT0004481
