miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.142971	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.142971	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.000798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.571884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.429711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	523	74.773880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14297	2044.057685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	22205	3174.673072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33053	4725.623465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	382	54.614957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	1.429711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.142971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.428913	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.142971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.286740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.142971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.142971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.714855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	25	3.574277	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.142971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	0.857827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.142971	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.142971	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	5	0.714855	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	77	11.008774	N	mature,MIMAT0004481
