miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.791208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	0.678178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	1.356356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	304	34.361026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8830	998.052159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16022	1810.961687	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30967	3500.190399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	573	64.766012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	1.356356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.226059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	0.678178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.226059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	0.791208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	34	3.843009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.226059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	0.904238	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.226059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.113030	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.452119	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	3.051802	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	33	3.729980	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.113030	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.226059	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.113030	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.226059	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.113030	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.113030	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.226059	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	55	6.216633	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146544:-	1	0.113030	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	1.469386	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	7	0.791208	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.113030	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	1.130297	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	554	62.618448	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.339089	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	0.791208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	36	4.069069	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.017267	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31174	3523.587544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.678178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.339089	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	0.678178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.339089	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16449	1859.225365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	15	1.695445	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	0.452119	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8888	1004.607881	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	0.678178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	302	34.134966	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.113030	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	13	1.469386	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.452119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	100	11.302969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	149	16.841424	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	69	7.799049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	310	35.039204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8878	1003.477584	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16610	1877.423145	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30766	3477.471431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	528	59.679676	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.113030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.339089	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.339089	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	1.017267	N	mature,MIMAT0000062
