miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.063515	N	precursor
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.063515	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.190544	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.063515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	0.508118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	30	1.905444	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	49	3.112225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	422	26.803240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	15427	979.842629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	32944	2092.431165	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	93779	5956.353273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2083	132.301303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	77	4.890639	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.063515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.063515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.063515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.127030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.381089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	1.778414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.190544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.127030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.127030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.127030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	19	1.206781	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	61	3.874402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	7	0.444604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.063515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	0.381089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.063515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	13	0.825692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.063515	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.063515	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.063515	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	38	2.413562	N	mature,MIMAT0004481
