miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.514056	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	2.398930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.370817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	2.056225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1285	220.187473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	24572	4210.464268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	31118	5332.135239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31162	5339.674733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	290	49.692115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	0.856761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.171352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	1.199465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	1.713521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	2.570282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.514056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.342704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.342704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	35	5.997324	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	57	9.767071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.171352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.171352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	2.056225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	19	3.255690	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.514056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.171352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.171352	N	mature,MIMAT0000062
