miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175961:+	1	0.133712	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	4	0.534847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.470829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.203405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	0.935982	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	630	84.238361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16706	2233.787391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	35523	4749.840148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	42649	5702.669607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	528	70.599769	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	2.139387	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.534847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.802270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.203405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.267423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	2.273099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	18	2.406810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.668558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.133712	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.401135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	2.540522	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	91	12.167763	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	73	9.760953	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.133712	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	7	0.935982	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	0.935982	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	2.139387	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.401135	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.133712	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.069693	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	555	74.209985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.534847	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	20	2.674234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.267423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.069693	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	42538	5687.827610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.401135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.401135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	20	2.674234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	0.802270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	35531	4750.909841	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.668558	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.267423	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	16543	2211.992387	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	11	1.470829	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	683	91.325080	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.401135	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.401135	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.267423	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	0.668558	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.534847	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	152	20.324176	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	215	28.748012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	4.546197	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	662	88.517135	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	16548	2212.660945	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	35261	4714.807686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	42546	5688.897304	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	580	77.552777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.267423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	0.668558	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	1.604540	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	17	2.273099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	18	2.406810	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	0.935982	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.133712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.133712	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	4	0.534847	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	16	2.139387	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	89	11.900340	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	62	8.290124	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.133712	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.133712	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.401135	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	8	1.069693	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	5	0.668558	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	2	0.267423	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.133712	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.133712	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.133712	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.133712	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	2.139387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	117	15.644267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2507	335.215192	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	64357	8605.282842	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	24110	3223.788699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	32184	4303.376835	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3422	457.561382	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	0.534847	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	11	1.470829	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.267423	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	0.802270	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.133712	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.133712	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.133712	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	0.935982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	7	0.935982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	8	1.069693	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.401135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	3	0.401135	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	39	5.214756	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	254	33.962768	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.267423	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.133712	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.401135	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113767:+	1	0.133712	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	9	1.203405	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	9	1.203405	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	5	0.668558	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.133712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.401135	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	36	4.813621	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	187	25.004085	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	137	18.318501	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	53	7.086719	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1590	212.601577	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	9461	1265.046242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	9052	1210.358163	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	21769	2910.769647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	385	51.478998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.267423	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.133712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	3	0.401135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	29	3.877639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	0.401135	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.133712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.267423	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.133712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.267423	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539865:+	1	0.133712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539866:+	1	0.133712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.133712	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	25	3.342792	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	72	9.627241	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.133712	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.133712	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	0.401135	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.133712	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	279	37.305560	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	363	48.537341	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	272	36.369578	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	9	1.203405	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178846-94178863:+	1	0.133712	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.133712	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.267423	N	mature,MIMAT0004484
