miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.568878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	50	11.206275	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1830	410.149658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5962	1336.236207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23488	5264.259648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	779	174.593761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	31	6.947890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.448251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.568878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.568878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.672376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.224125	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.224125	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	2.689506	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	32	7.172016	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	40	8.965020	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.224125	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.120627	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.672376	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	22	4.930761	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.448251	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.448251	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	2.689506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	820	183.782907	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	2.689506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	23504	5267.845656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.448251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.896502	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6077	1362.010639	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.448251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1880	421.355932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	47	10.533898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.224125	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.448251	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	28	6.275514	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	112	25.102056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	65	14.568157	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.448251	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	44	9.861522	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1869	418.890552	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5941	1331.529571	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23709	5313.791383	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	853	191.179048	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.896502	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.120627	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	13	2.913631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.224125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	2.465380	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	55	12.326902	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	39	8.740894	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	5	1.120627	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.448251	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	6	1.344753	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.224125	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.224125	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.224125	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.224125	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	0.896502	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	26	5.827263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	452	101.304724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11061	2479.052111	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5417	1214.087811	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	22406	5021.755862	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5778	1294.997116	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	14	3.137757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.224125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.224125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.344753	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.672376	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.224125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.224125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.224125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.224125	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.224125	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	10	2.241255	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	70	15.688785	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.224125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.224125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	1.568878	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	2.017129	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	6	1.344753	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	24	5.379012	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	222	49.755860	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	222	49.755860	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1102	246.986297	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	104	23.309052	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.224125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.224125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.448251	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	6	1.344753	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.224125	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.448251	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	66	14.792283	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	212	47.514605	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	985	220.763613	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	135	30.256942	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	3	0.672376	N	mature,MIMAT0000065
