miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	1.458002	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	1.458002	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	2.916004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	2.916004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	31	45.198070	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	461	672.139035	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	831	1211.599866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2487	3626.051584	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	28	40.824063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	2.916004	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	4.374007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	40.824063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	7.290011	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	1.458002	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	1.458002	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	14.580022	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	30.618047	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	8.748013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	1.458002	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	1.458002	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	1.458002	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	13.122020	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	1.458002	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	29	42.282065	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	5.832009	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	5.832009	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	24	34.992054	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2460	3586.685523	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	2.916004	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	4.374007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	829	1208.683861	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	4.374007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	434	632.772974	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	29	42.282065	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	1.458002	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	2.916004	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	11	16.038025	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	14	20.412031	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	27.702043	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	29	42.282065	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	429	625.482963	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	947	1380.728126	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2320	3382.565209	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	35	51.030079	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	4.374007	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	25	36.450056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	7.290011	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	1.458002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	2.916004	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	1.458002	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	16	23.328036	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	16.038025	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	18.954029	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	2.916004	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	1.458002	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	1.458002	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	2.916004	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	9	13.122020	N	mature,MIMAT0000063
