miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	2	1.436916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.436916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	2.155374	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.873832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	42	30.175232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1364	979.976578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2783	1999.468341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5755	4134.725226	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	171	122.856301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	5.747663	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	5.747663	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	26	18.679905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	7.184579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	2.155374	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.873832	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	13.650700	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	17.242990	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	1.436916	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.718458	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.718458	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	27	19.398363	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	4.310747	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	2.873832	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146583:-	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	2.873832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.436916	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	170	122.137843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	3.592290	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	5.029205	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	15.087616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5739	4123.229899	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	2.873832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	2.155374	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	2.873832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2772	1991.565304	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	1.436916	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1411	1013.744100	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	44	31.612148	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.436916	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.718458	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	1.436916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	17.242990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	32	22.990653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	31	22.272195	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	52	37.359811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1323	950.519804	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2869	2061.255721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5836	4192.920316	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	175	125.730133	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112779:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	2.155374	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	7	5.029205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	29	20.835279	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.436916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	7.903037	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	2.155374	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.718458	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.718458	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	5.029205	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	26	18.679905	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	10.058411	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	1.436916	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	4.310747	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	31	22.272195	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	518	372.161193	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11243	8077.622192	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4811	3456.500966	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10373	7452.563817	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1812	1301.845718	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	6.466121	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	17	12.213784	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	44	31.612148	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	15	10.776869	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.718458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.718458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	12	8.621495	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	2.155374	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	3.592290	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.436916	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.718458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.718458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	5	3.592290	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.718458	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	3.592290	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	50	35.922895	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.718458	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.718458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.718458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	8	5.747663	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	11	7.903037	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	10	7.184579	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	199	142.973122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	608	436.822404	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	775	556.804874	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2791	2005.216004	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	140	100.584106	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	5	3.592290	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	17	12.213784	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.718458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	5	3.592290	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.718458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539861:+	1	0.718458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.718458	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	2.155374	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	12	8.621495	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	49	35.204437	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	3.592290	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.718458	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.718458	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	29	20.835279	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	100	71.845790	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	317	227.751155	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	34	24.427569	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.718458	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	6	4.310747	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	17	12.213784	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	5	3.592290	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	3	2.155374	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	6	4.310747	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	0.718458	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	3	2.155374	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.718458	N	mature,MIMAT0004484
