miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.120128	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	3	0.360383	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	1.081148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	2.402551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	59	7.087526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.240255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	633	76.040740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14332	1721.668067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	41598	4997.065885	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	115489	13873.410788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2057	247.102373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	50	6.006378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	1.081148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	37	4.444719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	110	13.214031	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.240255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.240255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.480510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	32	3.844082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	74	8.889439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.360383	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.600638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	15	1.801913	N	mature,MIMAT0000062
