miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.418776	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.104694	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.104694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	16	1.675104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.046940	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.046940	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1001	104.798691	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	29316	3069.209223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	32487	3401.193888	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22310	2335.723079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	177	18.530838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	0.732858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.314082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	1.151634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	0.837552	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.104694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.104694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	5	0.523470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	0.942246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	1.361022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.104694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.523470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	1.151634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.314082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	3	0.314082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.209388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	2	0.209388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	3	0.314082	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175996-94176016:+	1	0.104694	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	4	0.418776	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.104694	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.314082	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	7	0.732858	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	75	7.852050	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	99	10.364706	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	1.256328	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.104694	N	mature,MIMAT0004481
