miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.382351	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.764701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	3.441156	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	46	17.588132	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2121	810.965818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3276	1252.580867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13459	5146.057964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	304	116.234610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	4.205858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	2.294104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.764701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.382351	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	4.205858	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	17.970483	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	6.882312	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.382351	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.529403	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.764701	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	2.294104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	322	123.116923	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.147052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.529403	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.764701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13599	5199.587061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.764701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.764701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3351	1281.257169	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2080	795.289439	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	50	19.117535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	0.382351	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.764701	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.382351	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	29	11.088170	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	11.852871	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	32	12.235222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.764701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	36	13.764625	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2102	803.701155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3325	1271.316051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13533	5174.351916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	286	109.352298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	3.823507	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.382351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	13	4.970559	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	39	14.911677	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	8.029365	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.382351	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.764701	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.382351	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.382351	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	3.058806	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	34	12.999924	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	599	229.028065	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	14426	5515.791084	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8663	3312.304045	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	32130	12284.927736	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5235	2001.605873	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	1.911753	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113719:+	1	0.382351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.382351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.764701	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.529403	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	14	5.352910	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	2.294104	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.764701	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.764701	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113713-46113738:+	1	0.382351	N	stemloop
hsa-let-7b	hg38:chr22:46113745-46113765:+	32	12.235222	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	86	32.882160	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.382351	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.382351	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.382351	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	12	4.588208	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	21	8.029365	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	34	12.999924	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.382351	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	83	31.735107	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	382	146.057964	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	571	218.322245	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3702	1415.462262	N	mature,MIMAT0000064
