miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.517170	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.034340	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.379120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	2.241069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	220	37.925790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7976	1374.982287	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10869	1873.706429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	29562	5096.191871	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	430	74.127681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	2.241069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.344780	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.517170	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	1.551510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175988:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	3	0.517170	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	2	0.344780	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175993:+	1	0.172390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176011:+	1	0.172390	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176028:+	1	0.172390	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.172390	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	2	0.344780	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	24	4.137359	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	32	5.516479	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	2.068679	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.344780	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.689560	N	mature,MIMAT0010195
