miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.271634	N	precursor
hsa-let-7a-1	hg38:chr9:94175940-94175962:+	1	0.271634	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.814901	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.271634	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.086535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.901436	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	63	17.112925	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2245	609.817712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6291	1708.847762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22186	6026.465817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	651	176.833555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	7.877378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.086535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.358169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.543267	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.173070	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	50	13.581686	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	36	9.778814	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.543267	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.271634	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	2.444704	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.086535	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.543267	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146562-122146590:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	4.074506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	603	163.795136	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.086535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22286	6053.629190	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.086535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.814901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6256	1699.340582	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2240	608.459543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	67	18.199460	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.271634	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	21	5.704308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	49	13.310053	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	39	10.593715	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	68	18.471093	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2372	644.315195	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6328	1718.898210	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22539	6122.352522	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	660	179.278258	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.814901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.814901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.814901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.543267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112778:+	1	0.271634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.271634	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	2.716337	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	53	14.396587	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	41	11.136983	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.271634	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.271634	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.271634	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.271634	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.543267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	2.173070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	4.617773	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	509	138.261566	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	10372	2817.384993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7875	2139.115582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	27119	7366.434981	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6462	1755.297129	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	1.901436	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	1.358169	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.271634	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.086535	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.271634	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	1.358169	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.814901	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.543267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.271634	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.271634	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	3	0.814901	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.543267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.543267	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	29	7.877378	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	88	23.903768	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.543267	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.271634	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.543267	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.271634	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	4	1.086535	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	1.901436	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	13	3.531238	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	31	8.420645	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	135	36.670553	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	204	55.413280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1166	316.724923	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	79	21.459064	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.271634	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539901:+	1	0.271634	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539900:+	1	0.271634	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.271634	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.543267	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	8	2.173070	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	80	21.730698	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	171	46.449367	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	679	184.439299	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	56	15.211489	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	3	0.814901	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	1.358169	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178847-94178863:+	1	0.271634	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.271634	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	5	1.358169	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.543267	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	144	39.115256	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	390	105.937153	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1140	309.662446	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	1.358169	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	6	1.629802	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	19	5.161041	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	46	12.495151	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.271634	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.271634	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	2	0.543267	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.271634	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	2	0.543267	N	precursor
hsa-let-7e	hg38:chr19:51692776-51692793:+	1	0.271634	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.271634	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.543267	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	1.629802	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	87	23.632134	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	429	116.530868	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1658	450.368716	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	92	24.990303	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	9	2.444704	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.271634	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.543267	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	10	2.716337	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	14	3.802872	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176332-94176353:+	1	0.271634	N	precursor
hsa-let-7f-1	hg38:chr9:94176352-94176375:+	1	0.271634	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	7	1.901436	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	1.086535	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	16	4.346140	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	12	3.259605	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	429	116.530868	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1966	534.031903	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	10156	2758.712108	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	59	16.026390	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	0.543267	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176378:+	1	0.271634	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	2	0.543267	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176380:+	1	0.271634	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.271634	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.543267	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	10	2.716337	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	10	2.716337	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	2	0.543267	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176428:+	1	0.271634	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	8	2.173070	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	14	3.802872	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176453:+	1	0.271634	N	precursor
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.271634	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	4	1.086535	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	3	0.814901	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	354	96.158339	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.271634	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.543267	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	10205	2772.022161	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	6	1.629802	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	1	0.271634	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	1906	517.733879	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	8	2.173070	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	417	113.271263	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	10	2.716337	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	33	8.963913	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	4	1.086535	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	13	3.531238	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	5	1.358169	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557288:-	3	0.814901	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557289:-	1	0.271634	N	precursor
