miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.583394	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.388929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.750181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	2.528039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	285	55.422391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8607	1673.756195	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	15454	3005.254820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	32250	6271.481038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	496	96.454406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	2.916968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.583394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.583394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.583394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	1.750181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	57	11.084478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.388929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	2.139110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	20	3.889291	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	44	8.556439	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	36	7.000723	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.194465	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.388929	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.583394	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.777858	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176037:+	1	0.194465	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.194465	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	0.972323	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.388929	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.194465	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.777858	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	466	90.620470	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	12	2.333574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	36	7.000723	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.388929	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	0.972323	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	32064	6235.310636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.583394	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	10	1.944645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.194465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	15443	3003.115711	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8661	1684.257280	N	mature,MIMAT0000062
