miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.477146	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.477146	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.477146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	3.340025	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	42	20.040147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1996	952.384133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2823	1346.984173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10945	5222.366904	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	304	145.052493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	7.634342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.477146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.477146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	2.385732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.477146	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.477146	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.908585	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	8.588634	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	8.588634	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.477146	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	5.725756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.477146	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	321	153.163981	N	mature,MIMAT0000062
