miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.260116	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.520231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.300579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	43	11.184975	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1838	478.092665	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3652	949.942553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14446	3757.631470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	512	133.179241	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	25	6.502893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.260116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.260116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	2	0.520231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.260116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.260116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.520231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	2.601157	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.260116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.520231	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.260116	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.260116	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.260116	N	mature,MIMAT0004481
