miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.491177	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.163726	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.818628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.327451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.455883	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	101	16.536276	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4444	727.596130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6250	1023.284386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17292	2831.141376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	325	53.210788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	0.982353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.654902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.163726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.163726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	1.473530	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.163726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.163726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.163726	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	27	4.420589	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	59	9.659805	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	4.093138	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.163726	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.163726	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	4	0.654902	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.163726	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.818628	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.491177	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176037:+	1	0.163726	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	1.637255	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	12	1.964706	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.163726	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.491177	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.163726	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.327451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.163726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	331	54.193141	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.163726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	1.309804	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.491177	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17528	2869.780595	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	13	2.128432	N	mature,MIMAT0000062
