miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	2	0.274469	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.411703	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.960641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.509579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.332985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	944	129.549287	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	20100	2758.411715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	41093	5639.373761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	51311	7041.635000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	595	81.654476	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	1.509579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.686172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	13	1.784047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.097875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	2.744688	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	0.686172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	0.960641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.137234	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.137234	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	31	4.254267	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	85	11.664925	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	2.744688	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.137234	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.411703	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.137234	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	1.235110	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.823406	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.137234	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.548938	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	570	78.223616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	18	2.470219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	2.058516	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	51618	7083.765965	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	18	2.470219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	0.686172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	41194	5653.234437	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	13	1.784047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	20086	2756.490433	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.411703	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	883	121.177987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.137234	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	2	0.274469	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.548938	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.137234	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	12	1.646813	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	0.960641	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	127	17.428771	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	178	24.427726	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	22	3.019157	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	883	121.177987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	20062	2753.196807	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	41506	5696.051574	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	51583	7078.962760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	535	73.420411	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.411703	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	0.548938	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	1.784047	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	14	1.921282	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	20	2.744688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.274469	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.137234	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.137234	N	mature,MIMAT0004481
