miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.443776	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	1.331329	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	7	3.106435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	5	2.218882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.775106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	2.218882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	4.881541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	296	131.357818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5707	2532.631989	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9182	4074.755024	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16509	7326.304803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	466	206.799808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	6.212870	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	5.325317	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	27	11.981963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	90	39.939877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	3.106435	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	2.218882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	32	14.200845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	26	11.538187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.443776	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.331329	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	5.325317	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	7.987975	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.443776	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.443776	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	2.218882	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	3.550211	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	3	1.331329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	1.331329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	1.775106	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	422	187.273646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	14	6.212870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	6.212870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	91	40.383654	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16308	7237.105743	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	2.662658	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	36	15.975951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9240	4100.494056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	2.218882	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5785	2567.246549	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	287	127.363831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.443776	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.443776	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	1.331329	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	22	9.763081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	34	15.088398	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	14	6.212870	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	269	119.375855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5699	2529.081778	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9254	4106.706926	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16519	7330.742567	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	479	212.568902	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	9	3.993988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	32	14.200845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	82	36.389666	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	9	3.993988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	27	11.981963	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	1.331329	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	15	6.656646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.887553	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	1	0.443776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	4	1.775106	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.443776	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.331329	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	5.769093	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	7.987975	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	1.331329	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.443776	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.443776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	27	11.981963	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	77	34.170784	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2051	910.185423	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	41967	18623.964725	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9825	4360.103258	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	15093	6697.917402	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3238	1436.948025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	2.662658	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	3	1.331329	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	63	27.957914	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	35	15.532174	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	113	50.146735	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	38	16.863504	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.443776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	1.331329	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	6	2.662658	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	31	13.757069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	14	6.212870	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.887553	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	4	1.775106	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	28	12.425740	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	18	7.987975	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.887553	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	4	1.775106	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.443776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	24	10.650634	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113699-46113720:+	1	0.443776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.443776	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	4.881541	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	63	27.957914	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.887553	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	1.331329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.331329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.887553	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.443776	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	17	7.544199	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	88	39.052324	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	62	27.514138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	38	16.863504	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	1.331329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1741	772.614735	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5833	2588.547817	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4726	2097.287328	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	13363	5930.184207	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	864	383.422821	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	11	4.881541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	3	1.331329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	7	3.106435	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	14	6.212870	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	70	31.064349	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	10	4.437764	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.443776	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.443776	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.443776	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	20	8.875528	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.443776	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	5	2.218882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	2	0.887553	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	2	0.887553	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	3	1.331329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.443776	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.443776	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.443776	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.775106	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	26	11.538187	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	208	92.305494	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	1.331329	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	2	0.887553	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178821-94178841:+	1	0.443776	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	0.887553	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.443776	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	6	2.662658	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	1.331329	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	97	43.046312	N	mature,MIMAT0000065
