miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.516063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	3.440418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	30	5.160627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1054	181.310032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4689	806.606016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	32079	5518.258557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1021	175.633342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	59	10.149233	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.344042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.548188	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	43	7.396899	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	49	8.429024	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.172021	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.172021	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.344042	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	6	1.032125	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	1.032125	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	4	0.688084	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.172021	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.688084	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	2.580314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	951	163.591879	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.344042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.344042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	32068	5516.366327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.376167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4604	791.984239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.688084	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1109	190.771182	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	29	4.988606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.344042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	33	5.676690	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	98	16.858049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	132	22.706759	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	6	1.032125	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	27	4.644564	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1036	178.213656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4596	790.608072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	32098	5521.526954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1012	174.085154	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.688084	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	4	0.688084	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.516063	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.172021	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	14	2.408293	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	45	7.740941	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	48	8.257003	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.344042	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.516063	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	13	2.236272	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.172021	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.172021	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	3	0.516063	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	0.688084	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	23	3.956481	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	665	114.393901	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11690	2010.924359	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6228	1071.346186	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	28686	4934.591632	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	8084	1390.616982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	13	2.236272	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.344042	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.172021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	1.376167	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	57	9.805191	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.172021	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	2	0.344042	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	6	1.032125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	16	2.752334	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	23	3.956481	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	67	11.525401	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	102	17.546132	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1209	207.973272	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	77	13.245610	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.172021	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	0.688084	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	4	0.688084	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.172021	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.172021	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	43	7.396899	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	109	18.750278	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	745	128.155573	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	83	14.277735	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.344042	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.516063	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.172021	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	34	5.848711	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	193	33.200034	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1093	188.018847	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	7	1.204146	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.172021	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.516063	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	56	9.633171	N	mature,MIMAT0004484
