miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.150961	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.452882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	2.113449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	63	9.510519	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3236	488.508575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6181	933.087610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20156	3042.762314	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	413	62.346737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.207685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	2	0.301921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.301921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.301921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	0.754803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	0.905764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	3	0.452882	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.301921	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	35	5.283622	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	100	15.096062	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	60	9.057637	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.301921	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.301921	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	6	0.905764	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.150961	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	0.754803	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.754803	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.452882	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.301921	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	426	64.309225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	1.056724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.358646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19895	3003.361591	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.905764	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.452882	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6156	929.313594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	9	1.358646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3231	487.753772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.452882	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	66	9.963401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	2	0.301921	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.150961	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.150961	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	56	8.453795	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	94	14.190299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	95	14.341259	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	80	12.076850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3223	486.546087	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6198	935.653940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19744	2980.566537	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	400	60.384249	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.056724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.150961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.056724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	35	5.283622	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	121	18.266235	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	54	8.151874	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.301921	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	4	0.603842	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	11	1.660567	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.150961	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.301921	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	0.905764	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	1.962488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	684	103.257066	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15352	2317.547482	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7500	1132.204671	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	18415	2779.939869	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2740	413.632107	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.301921	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.452882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.301921	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.301921	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.150961	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.150961	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	17	2.566331	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	77	11.623968	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	2	0.301921	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.150961	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.301921	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.452882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	26	3.924976	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	35	5.283622	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	26	3.924976	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.150961	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	106	16.001826	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	656	99.030169	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	910	137.374167	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4472	675.095905	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	193	29.135400	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.150961	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.452882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.301921	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.301921	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	26	3.924976	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	64	9.661480	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.150961	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.150961	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.301921	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	68	10.265322	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	179	27.021951	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	610	92.085980	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	31	4.679779	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.301921	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.150961	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	0.754803	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	138	20.832566	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	368	55.553509	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	852	128.618451	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.301921	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	10	1.509606	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	17	2.566331	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	74	11.171086	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.150961	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.150961	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.150961	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.150961	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.301921	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	0.603842	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	175	26.418109	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	797	120.315616	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2138	322.753812	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	84	12.680692	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	10	1.509606	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.150961	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.150961	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692858:+	1	0.150961	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.150961	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	3	0.452882	N	mature,MIMAT0004485
