miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.560736	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.280368	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.121472	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.523313	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	393	110.184650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11310	3170.962840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	15605	4375.143689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22722	6370.523223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	271	75.979746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	2.242945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	2.242945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.401840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	4.485889	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	20	5.607361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	27	7.569938	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	1.121472	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.962576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.560736	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.841104	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	3.084049	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	3.364417	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.280368	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.841104	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.280368	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.280368	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.280368	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.280368	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	2.242945	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.560736	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	319	89.437413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	2.523313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	34	9.532514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	4.205521	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22995	6447.063705	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.841104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.560736	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	14	3.925153	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	2.523313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	15812	4433.179879	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.401840	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.560736	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	11148	3125.543213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	342	95.885879	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.280368	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.280368	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.280368	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	1.401840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	1.401840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	72	20.186501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	92	25.793862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	23	6.448466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	392	109.904282	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	11022	3090.216837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	15626	4381.031418	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22747	6377.532425	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	272	76.260114	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	6	1.682208	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	11	3.084049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	17	4.766257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	22	6.168097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	41	11.495091	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.280368	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	4	1.121472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	1.682208	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.280368	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.560736	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	3.364417	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	2.803681	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.280368	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.560736	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	31	8.691410	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	110	30.840487	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3932	1102.407240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	51515	14443.160982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	20535	5757.358260	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	25662	7194.805340	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2023	567.184600	N	mature,MIMAT0000063
