miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.262013	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.262013	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.262013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.262013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.524026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	3.406169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	219	57.380855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5616	1471.465208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	15267	4000.153016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	38066	9973.788216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	373	97.730862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.572078	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.262013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.786039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.096104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.262013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.262013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	11	2.882143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	6.026300	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	1.572078	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.262013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.262013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	3.144156	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	6.550326	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.310065	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.262013	N	mature,MIMAT0004481
