miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.347689	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.347689	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.390756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.390756	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	459	79.794641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9617	1671.862880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17566	3053.753077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36256	6302.907411	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	712	123.777308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	25	4.346113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.695378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.695378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	13	2.259979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	5	0.869223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	5	0.869223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	30	5.215336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	69	11.995273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	7	1.216912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	12	2.086134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	30	5.215336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.695378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.521534	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	21	3.650735	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	57	9.909138	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	7.127626	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.347689	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.521534	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.043067	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.390756	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.347689	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	2.086134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	740	128.644955	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	6	1.043067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	28	4.867647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	78	13.559874	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	16	2.781513	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36361	6321.161087	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	37	6.432248	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.695378	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17678	3073.223665	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.347689	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9370	1628.923280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.695378	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	436	75.796217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.173845	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.173845	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.173845	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	8	1.390756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.347689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	74	12.864495	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	112	19.470588	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	49	8.518382	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	433	75.274683	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9623	1672.905947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	17662	3070.442153	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	36792	6396.088081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	707	122.908085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.390756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	0.695378	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	20	3.476891	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.347689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	36	6.258403	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	67	11.647584	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.347689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.173845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.521534	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	28	4.867647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.347689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	7	1.216912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	37	6.432248	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	64	11.126050	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	36	6.258403	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.347689	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.173845	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.173845	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113709:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	38	6.606092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	156	27.119747	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3214	558.736331	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	52497	9126.316481	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	17911	3113.729442	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	30166	5244.194201	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4128	717.630235	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	1.043067	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	1.564601	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	6	1.043067	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	1.390756	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	10	1.738445	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	5	0.869223	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	65	11.299895	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	30	5.215336	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	5	0.869223	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	32	5.563025	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	12	2.086134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	5	0.869223	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.173845	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.173845	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.173845	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.521534	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	42	7.301470	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	162	28.162814	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.173845	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	6	1.043067	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.173845	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	5	0.869223	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.173845	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.173845	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.173845	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	9	1.564601	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	67	11.647584	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	32	5.563025	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	28	4.867647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	794	138.032560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3066	533.007340	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2408	418.617637	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6320	1098.697452	N	mature,MIMAT0000064
