miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.433772	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.301317	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	3.903952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	146	63.330783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2253	977.289408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4691	2034.826725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12227	5303.736169	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	171	74.175095	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	3.036407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.735090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	16	6.940360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	73	31.665391	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.867545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	3.903952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	31	13.446947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	1.735090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	5.639042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.867545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.867545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.433772	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.168862	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	4.771497	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	8.675450	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	1.301317	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.433772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	2	0.867545	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.433772	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	4.771497	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.301317	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	2.168862	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146590:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.867545	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	188	81.549227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	1.301317	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	4.337725	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	32	13.880720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	91	39.473296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12338	5351.884915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	9	3.903952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	19	8.241677	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4666	2023.982413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	2.602635	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2233	968.613958	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	128	55.522878	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.867545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	1.301317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	34	14.748264	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	58	25.158804	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	28	12.145630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	126	54.655333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2258	979.458270	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4591	1991.449477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12349	5356.656412	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	188	81.549227	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	2.168862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	16	6.940360	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	93	40.340841	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	6	2.602635	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.433772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	10	4.337725	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	46	19.953534	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	1.301317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	13	5.639042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.867545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.867545	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.301317	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	16	6.940360	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	7.374132	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	1.301317	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	1.301317	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.301317	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112822:+	1	0.433772	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112804-46112823:+	1	0.433772	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.433772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	19	8.241677	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	102	44.244793	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1952	846.723890	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	34815	15101.789051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9391	4073.557403	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	19479	8449.454227	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2389	1036.282466	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.867545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.433772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	3	1.301317	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	70	30.364074	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	39	16.917127	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	145	62.897010	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	24	10.410540	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	9	3.903952	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.867545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	34	14.748264	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	10	4.337725	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	2	0.867545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.301317	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	15	6.506587	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	14	6.072815	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.867545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.433772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.433772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	3	1.301317	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.433772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	11	4.771497	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	3	1.301317	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.433772	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	1.301317	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	20	8.675450	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	95	41.208386	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.867545	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.433772	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	1	0.433772	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.433772	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.867545	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	10	4.337725	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	3.036407	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	3	1.301317	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	169	73.307550	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	373	161.797137	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	362	157.025639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1268	550.023510	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	48	20.821079	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.433772	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	7	3.036407	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.867545	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.433772	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.433772	N	mature,MIMAT0000064
