miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	1.614121	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.269020	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.538040	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.076081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.614121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	243	65.371908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6342	1706.126101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12997	3496.455524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19719	5304.809301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	253	68.062110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.883141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.538040	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.883141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	26	6.994525	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.269020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	4.573343	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	32	8.608646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.538040	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	2.959222	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.269020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	4	1.076081	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	24	6.456485	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	75	20.176515	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	39	10.491788	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.269020	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.538040	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.538040	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.538040	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.269020	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176034:+	1	0.269020	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	271	72.904474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.538040	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	2.152162	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	29	7.801586	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.538040	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	18	4.842364	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19797	5325.792877	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.538040	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	2.152162	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.269020	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	2.421182	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13070	3516.093999	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.807061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6310	1697.517455	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	263	70.752312	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.269020	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.269020	N	mature,MIMAT0000062
