miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.687332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	0.962264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	3.299192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	81	11.134772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4053	557.151005	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10967	1507.593159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33717	4634.951995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1117	153.549882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	6.460917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.549865	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.549865	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.137466	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.274933	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.137466	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	35	4.811321	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	153	21.032347	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	129	17.733156	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	0.549865	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.137466	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.412399	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	10	1.374663	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.412399	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	2	0.274933	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	25	3.436658	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	1.512130	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.137466	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.137466	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	22	3.024259	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1176	161.660395	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.412399	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	33358	4585.601585	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	14	1.924529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11035	1516.940868	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	0.824798	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3839	527.733212	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	89	12.234503	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.137466	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.549865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	41	5.636119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	153	21.032347	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	101	13.884099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	5	0.687332	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	77	10.584907	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3767	517.835637	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10944	1504.431433	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	33912	4661.757928	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1083	148.876027	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.274933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.137466	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	37	5.086254	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	140	19.245285	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	121	16.633425	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	7	0.962264	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	4	0.549865	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	4	0.549865	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	9	1.237197	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.137466	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.137466	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	1.099731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	34	4.673855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	778	106.948799	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	24758	3403.391212	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9400	1292.183431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	32188	4424.765988	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7767	1067.700927	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	1.099731	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113718:+	2	0.274933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	2	0.274933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.274933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.137466	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.274933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.412399	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.137466	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.412399	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.137466	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.274933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.412399	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113730-46113760:+	1	0.137466	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	10	1.374663	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	85	11.684637	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	4	0.549865	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.137466	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	0.549865	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	0.687332	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	32	4.398922	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	26	3.574124	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	34	4.673855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	161	22.132078	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	860	118.221037	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	824	113.272250	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5056	695.029726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	290	39.865234	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.137466	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.274933	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	1	0.137466	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539869-16539890:+	1	0.137466	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	8	1.099731	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	25	3.436658	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.137466	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.137466	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.137466	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	96	13.196767	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	198	27.218332	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	712	97.876022	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	98	13.471700	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	5	0.687332	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.412399	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	11	1.512130	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.137466	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.137466	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	77	10.584907	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	344	47.288415	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1627	223.657707	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	11	1.512130	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.137466	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.274933	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	17	2.336927	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	123	16.908358	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.137466	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	0.549865	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	0.824798	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	246	33.816715	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1189	163.447457	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2968	408.000045	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	167	22.956876	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	29	3.986523	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.137466	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.137466	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	2	0.274933	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	6	0.824798	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	28	3.849057	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	83	11.409705	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	3	0.412399	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	5	0.687332	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	19	2.611860	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	22	3.024259	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1149	157.948805	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	4911	675.097110	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	22165	3046.941038	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	151	20.757415	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	14	1.924529	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	9	1.237197	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	0.137466	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	5	0.687332	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.137466	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.274933	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	9	1.237197	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	0.274933	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.137466	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176385:+	1	0.137466	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.137466	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176407-94176430:+	1	0.137466	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	7	0.962264	N	mature,MIMAT0004486
