miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.947715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.263620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.263620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	284	44.858498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9056	1430.417441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13852	2187.957420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22142	3497.383281	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	398	62.865077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	1.579525	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.421572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	0.947715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	2.685192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.315905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.157952	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.263620	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	14	2.211334	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	2.369287	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.157952	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.157952	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.157952	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	2.843144	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	2.053382	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	0.789762	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.263620	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.157952	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.157952	N	mature,MIMAT0000062
