miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.167059	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.668235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	2.338821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	67	11.192931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	125	20.882334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4791	800.378087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14806	2473.470666	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	77366	12924.661050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2604	435.020776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	105	17.541160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.334117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.169411	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.334117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.501176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.668235	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.167059	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.167059	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.167059	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	2.171763	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	75	12.529400	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	79	13.197635	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.501176	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	14	2.338821	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176037:+	1	0.167059	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.501176	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	1.670587	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.835293	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.334117	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	28	4.677643	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2713	453.230171	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	0.668235	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.668235	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	77482	12944.039856	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	32	5.345877	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	14892	2487.837711	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	29	4.844701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.167059	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4947	826.439240	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	13	2.171763	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	102	17.039984	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.167059	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.167059	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.501176	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	0.835293	N	mature,MIMAT0000062
