miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.102916	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	12	1.234998	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	4	0.411666	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.102916	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	1.543747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	25	2.572912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	43	4.425409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	928	95.506492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	25062	2579.292772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	53988	5556.254816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	100999	10394.461364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1209	124.426022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	23	2.367079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.234998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	34	3.499160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	76	7.821652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.205833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.308749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.308749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	28	2.881661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	65	6.689571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.205833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.308749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	1.132081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	2	0.205833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	3	0.308749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.102916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.102916	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.205833	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	45	4.631242	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	84	8.644984	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	2.367079	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.308749	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.102916	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	22	2.264163	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	0.720415	N	mature,MIMAT0010195
