miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.570893	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.228357	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.114179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.799250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	1.826858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	33	3.767895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	630	71.932531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16264	1857.001096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	37151	4241.849959	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	68927	7869.989828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1033	117.946516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	25	2.854466	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	13	1.484322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	29	3.311180	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	69	7.878325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.114179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.456714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.114179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.114179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	27	3.082823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	85	9.705183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.342536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	28	3.197001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.114179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.114179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.228357	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.114179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.570893	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	34	3.882073	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	38	4.338788	N	mature,MIMAT0004481
