miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175962:+	1	0.146257	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	3	0.438772	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	35	5.119010	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.146257	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	7	1.023802	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.146257	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.608832	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.778891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	41	5.996555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	741	108.376763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14746	2156.712215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	40604	5938.637106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	101141	14792.623769	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1486	217.338556	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	59	8.629189	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.585030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	1.755089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	53	7.751644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.585030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	1.462574	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	28	4.095208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.438772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	1.170060	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.146257	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.292515	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.146257	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	3	0.438772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	2.047604	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	5.996555	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	3.948951	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.146257	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.146257	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.438772	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.292515	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.292515	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146546:-	1	0.146257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.292515	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.146257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.146257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	2.632634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1462	213.828378	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	4	0.585030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	1.023802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	38	5.557783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	27	3.948951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	100680	14725.199089	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.023802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	0.877545	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	7	1.023802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	18	2.632634	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	40103	5865.362128	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.731287	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	10	1.462574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	14398	2105.814625	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	759	111.009397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.146257	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	0.585030	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.292515	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.438772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	0.877545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	84	12.285625	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	156	22.816161	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	70	10.238021	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	770	112.618229	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	14542	2126.875697	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	40550	5930.739204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	101002	14772.293985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1500	219.386160	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	0.877545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	6	0.877545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	16	2.340119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	38	5.557783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	4	0.585030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	14	2.047604	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	31	4.533981	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.292515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	10	1.462574	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.146257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	3	0.438772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	19	2.778891	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	24	3.510179	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	25	3.656436	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.146257	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.292515	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	3	0.438772	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.146257	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.146257	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.292515	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	2	0.292515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	209	30.567805	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	577	84.390543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	8695	1271.708443	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	90295	13206.315572	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	58255	8520.227185	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	93838	13724.505683	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	8357	1222.273429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	0.877545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113718:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113719:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	3	0.438772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	5	0.731287	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	39	5.704040	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	14	2.047604	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	29	4.241466	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	3	0.438772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	12	1.755089	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	0.585030	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	70	10.238021	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	8	1.170060	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	6	0.877545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	26	3.802693	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	9	1.316317	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	7	1.023802	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	8	1.170060	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.146257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	2	0.292515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.146257	N	mature,MIMAT0000063
