miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.303232	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.151616	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.151616	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.454849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	1.516162	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	3.638789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	137	20.771420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4853	735.793448	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12447	1887.166916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34314	5202.558493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	951	144.187012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	27	4.093638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	0.909697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.758081	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	2.274243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.606465	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175972-94175992:+	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.151616	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.151616	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176031:+	1	0.151616	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	2.729092	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	36	5.458183	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	6.216264	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.151616	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.303232	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.151616	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	2.880708	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.606465	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.151616	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	2	0.303232	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.061313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.303232	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	893	135.393272	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.454849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	1.667778	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	0.909697	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	33983	5152.373529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.061313	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	0.758081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12411	1881.708733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	13	1.971011	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.151616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4818	730.486881	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	1.212930	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	138	20.923036	N	mature,MIMAT0000062
