miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.514401	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.028802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.028802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.314804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	120	30.864047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6218	1599.272020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6425	1652.512501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16309	4194.681147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	178	45.781669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.543202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.514401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	1.028802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	2	0.514401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.257200	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	2	0.514401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	4	1.028802	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176033:+	1	0.257200	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	34	8.744813	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	63	16.203625	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	4.115206	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.514401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.257200	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.514401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.514401	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176034:+	1	0.257200	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	2.829204	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	2.314804	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.514401	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.257200	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146548:-	1	0.257200	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.771601	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	203	52.211679	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	15	3.858006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16216	4170.761511	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.514401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6405	1647.368493	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.771601	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6197	1593.870812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.028802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	121	31.121247	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.514401	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.514401	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	56	14.403222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	44	11.316817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	6.172809	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.257200	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	111	28.549243	N	mature,MIMAT0000062
