miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	4	0.415832	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	8	0.831664	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	6	0.623748	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	4	0.415832	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.623748	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	0.935622	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	1.559370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	493	51.251280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11308	1175.556737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	23091	2400.493509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	50970	5298.737784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	805	83.686167	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	2.494991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	18	1.871243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	12	1.247496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	45	4.678109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	16	1.663328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	5	0.519790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	35	3.638529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	101	10.499755	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	66	6.861226	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.311874	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.519790	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	5	0.519790	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	59	6.133520	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146544:-	3	0.311874	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	30	3.118739	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	14	1.455412	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.103958	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	2	0.207916	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146545:-	1	0.103958	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	792	82.334713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	14	1.455412	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	33	3.430613	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	15	1.559370	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	51381	5341.464510	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	7	0.727706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	0.727706	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	23227	2414.631793	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.311874	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	11472	1192.605844	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	0.519790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	483	50.211700	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.103958	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.311874	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	4	0.415832	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.103958	N	precursor
hsa-let-7a-3	hg38:chr22:46112746-46112774:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	13	1.351454	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	0.519790	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	98	10.187881	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	122	12.682872	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	85	8.836428	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	497	51.667112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	11306	1175.348821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	23266	2418.686154	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	50795	5280.545139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	731	75.993277	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.311874	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	32	3.326655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	0.519790	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	39	4.054361	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.207916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	12	1.247496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	4	0.415832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	1	0.103958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.207916	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	34	3.534571	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	98	10.187881	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	56	5.821646	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.311874	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	0.415832	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112821:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	2	0.207916	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.207916	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.103958	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	3	0.311874	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	3	0.311874	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.103958	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.103958	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113709:+	2	0.207916	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	100	10.395797	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	217	22.558880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	6156	639.965270	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	82449	8571.230754	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	28885	3002.825993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	44948	4672.702882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5278	548.690171	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	0.519790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.103958	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	31	3.222697	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	5	0.519790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	17	1.767286	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	4	0.415832	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.103958	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	4	0.415832	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.103958	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	8	0.831664	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	3	0.311874	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	39	4.054361	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	0.519790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	3	0.311874	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	5	0.519790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	30	3.118739	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	13	1.351454	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.207916	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	6	0.623748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.207916	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	2	0.207916	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	3	0.311874	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	6	0.623748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113742-46113765:+	1	0.103958	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.103958	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	4	0.415832	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.207916	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	118	12.267041	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	303	31.499265	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	4	0.415832	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.207916	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.103958	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	0.415832	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.103958	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	9	0.935622	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	34	3.534571	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	26	2.702907	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	8	0.831664	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	343	35.657584	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1277	132.754329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	961	99.903610	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2233	232.138149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	54	5.613730	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.103958	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.207916	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.103958	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.207916	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	9	0.935622	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	19	1.975201	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	29	3.014781	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178821-94178841:+	1	0.103958	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178862:+	2	0.207916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.103958	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	3	0.311874	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	3	0.311874	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	16	1.663328	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	6	0.623748	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	387	40.231735	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	839	87.220738	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	2081	216.336538	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	120	12.474957	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.207916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178866:+	1	0.103958	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.103958	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	14	1.455412	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	59	6.133520	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.103958	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	2	0.207916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	3	0.311874	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	2	0.207916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	5	0.519790	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178864:+	1	0.103958	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	2	0.207916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178864:+	2	0.207916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178910:+	1	0.103958	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	4	0.415832	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	43	4.470193	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	17	1.767286	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	417	43.350474	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	1447	150.427184	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	2825	293.681268	N	mature,MIMAT0004484
