miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175937-94175962:+	1	0.283990	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.283990	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.839902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	30	8.519707	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1071	304.153527	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1907	541.569353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9237	2623.217677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	162	46.006416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.135961	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.283990	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.283990	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.703941	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	3.123892	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	4.827834	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.851971	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.851971	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.283990	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	3.975863	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.703941	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.567980	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.283990	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.135961	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	172	48.846318	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.851971	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	1.987932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9289	2637.985169	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.851971	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1870	531.061714	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1024	290.805987	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	37	10.507638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.283990	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112770:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112771:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	25	7.099756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	55	15.619462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	60	17.039413	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	30	8.519707	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1047	297.337762	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1791	508.626487	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9104	2585.446978	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	172	48.846318	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.567980	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.135961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.851971	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.419951	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.283990	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112818:+	1	0.283990	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.419951	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	3.691873	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	5.963795	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.283990	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.851971	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.567980	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	8	2.271922	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.283990	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.283990	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.567980	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	3	0.851971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	341	96.840666	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4826	1370.536810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2390	678.736630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8583	2437.488072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1361	386.510692	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.283990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.851971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.283990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.283990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.283990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.851971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	3.123892	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	25	7.099756	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.283990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.851971	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	1	0.283990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	1	0.283990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	28	7.951726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	70	19.879316	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	72	20.447296	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	405	115.016040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	9	2.555912	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.283990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.283990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	0.851971	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	9	2.555912	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.283990	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	36	10.223648	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	39	11.075619	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	158	44.870455	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	8	2.271922	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	29	8.235716	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	78	22.151237	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	315	89.456920	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.567980	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.283990	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	6	1.703941	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	32	9.087687	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	0.567980	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692769-51692793:+	1	0.283990	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.567980	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	7	1.987932	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	83	23.571188	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	299	84.913076	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1334	378.842956	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	44	12.495570	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	7	1.987932	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692856:+	1	0.283990	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.283990	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.283990	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	1.419951	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	18	5.111824	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.283990	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	5	1.419951	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	149	42.314543	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	544	154.490681	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	3406	967.270695	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	16	4.543844	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176380:+	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	9	2.555912	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	4	1.135961	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	2	0.567980	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557224-53557246:-	1	0.283990	N	stemloop
hsa-let-7f-2	hg38:chrX:53557240-53557263:-	2	0.567980	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	68	19.311335	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.567980	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	3469	985.162079	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	9	2.555912	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	491	139.439199	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	175	49.698289	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.283990	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	3	0.851971	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	3	0.851971	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.283990	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	4	1.135961	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557291:-	2	0.567980	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	3	0.851971	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	0.567980	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	80	22.719218	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.283990	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	3	0.851971	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	27	7.667736	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.283990	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	1	0.283990	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	2	0.567980	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	650	184.593644	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	13	3.691873	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	94	26.695081	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	3	0.851971	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	12	3.407883	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	3	0.851971	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603669-62603691:+	1	0.283990	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	3	0.851971	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	14	3.975863	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	156	44.302475	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	118	33.510846	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	211	59.921937	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	5	1.419951	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.283990	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603696-62603718:+	2	0.567980	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	84	23.855179	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	34	9.655668	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	56	15.903452	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603770:+	2	0.567980	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554312-62554334:+	2	0.567980	N	mature,MIMAT0031892
hsa-mir-1-1	hg38:chr20:62554312-62554335:+	1	0.283990	N	mature,MIMAT0031892
hsa-mir-1-1	hg38:chr20:62554351-62554370:+	8	2.271922	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554371:+	25	7.099756	N	mature,MIMAT0000416
