miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	2.165924	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	3.248886	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	37	20.034796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2391	1294.680978	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4404	2384.682153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15740	8522.910330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	525	284.277505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	10.829619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	2.707405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	1.082962	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.541481	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.541481	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	4.873329	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	13.537024	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	10.288138	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.541481	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.082962	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.624443	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	3.790367	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	463	250.705685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15984	8655.031685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.082962	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4395	2379.808825	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2299	1244.864730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	1.082962	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	40	21.659238	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	1.082962	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112770:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	17	9.205176	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	44	23.825162	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	39	21.117757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	39	21.117757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2337	1265.441006	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4321	2339.739234	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15953	8638.245775	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	508	275.072328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.541481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	1.082962	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.082962	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	1.624443	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.541481	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.541481	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	4.873329	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	10.288138	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	8.663695	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.541481	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.624443	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	3.248886	N	mature,MIMAT0000063
