miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.213086	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.213086	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.213086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.278515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.852343	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.065429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	225	47.944318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6960	1483.077573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8415	1793.117497	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13491	2874.741314	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	100	21.308586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	0.639258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.213086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.213086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.639258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	2.557030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.213086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	2.130859	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	21	4.474803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.639258	N	mature,MIMAT0000062
