miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.437860	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	3.940740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	18	7.881480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1232	539.443524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2673	1170.399788	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	7736	3387.284983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	196	85.820561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.313580	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.313580	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.875720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.875720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	24	10.508640	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	50	21.893000	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	2.627160	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.437860	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.751440	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	188	82.317681	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	2.627160	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.751440	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	7733	3385.971403	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2594	1135.808848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1222	535.064924	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.875720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	27	11.822220	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112771:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	11	4.816460	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	14	6.130040	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	4	1.751440	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	16	7.005760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1246	545.573564	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2618	1146.317488	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	7710	3375.900623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	179	78.376941	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	1.313580	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.437860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.437860	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	31	13.573660	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	46	20.141560	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	9	3.940740	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.437860	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.437860	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.875720	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	1.751440	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	466	204.042761	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8749	3830.837166	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5241	2294.824276	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13825	6053.414542	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1880	823.176806	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.437860	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.437860	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.437860	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	1.313580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.437860	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.751440	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.751440	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.875720	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.437860	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	53	23.206580	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	90	39.407400	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.875720	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113747-46113766:+	1	0.437860	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.437860	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.437860	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	14	6.130040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	21	9.195060	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	15	6.567900	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	64	28.023040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	445	194.847701	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	479	209.734941	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2409	1054.804747	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	70	30.650200	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	2.189300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539882-16539904:+	1	0.437860	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	11	4.816460	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	81	35.466660	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	96	42.034560	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.437860	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	41	17.952260	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	52	22.768720	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	209	91.512741	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	11	4.816460	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.437860	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.437860	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178916:+	1	0.437860	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	73	31.963780	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	181	79.252661	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	248	108.589281	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.437860	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	8	3.502880	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	25	10.946500	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178916:+	1	0.437860	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	3	1.313580	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.437860	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.437860	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.875720	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	51	22.330860	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	255	111.654301	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	502	219.805722	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	19	8.319340	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.437860	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.437860	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.437860	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.437860	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	8	3.502880	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	9	3.940740	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	0.875720	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	3	1.313580	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	7	3.065020	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	287	125.665821	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1064	465.883043	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	3660	1602.567611	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	8	3.502880	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.437860	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.875720	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.437860	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.437860	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	4	1.751440	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	13	5.692180	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	8	3.502880	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176450:+	1	0.437860	N	precursor
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	1.313580	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.437860	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.437860	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	207	90.637021	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.437860	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	1	0.437860	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.875720	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	3521	1541.705071	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	1069	468.072343	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	237	103.772821	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	5	2.189300	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	3	1.313580	N	mature,MIMAT0000067
