miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175940-94175962:+	1	0.217171	N	precursor
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	2	0.434342	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.217171	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	14	3.040393	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.217171	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.651513	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.217171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.868684	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	1.954538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	192	41.696817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5155	1119.516108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9171	1991.674535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25633	5566.742271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	390	84.696660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	13	2.823222	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.217171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.434342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.651513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.520196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.737367	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	26	5.646444	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.217171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	2.823222	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.217171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	2	0.434342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	2	0.434342	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.217171	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.217171	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.217171	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.217171	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	30	6.515128	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	98	21.282750	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	138	29.969587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	0.868684	N	mature,MIMAT0004481
