miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.773170	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.257723	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.257723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	2.577232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	2.319509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.546339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	275	70.873877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9738	2509.708433	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17542	4520.980214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33469	8625.737475	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	561	144.582710	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	15	3.865848	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.515446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	2.319509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.257723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.515446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	16	4.123571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	5.927633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.257723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.030893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.257723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.257723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	3.092678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	9.535758	N	mature,MIMAT0004481
