miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.036138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.554208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	6.216831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	10	5.180692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	632	327.419746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1650	854.814210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11240	5823.098012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	315	163.191804	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	8.289107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.518069	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.518069	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.554208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	9.843315	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	12.433661	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.518069	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	7.252969	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.554208	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.518069	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	2.590346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	342	177.179673	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	1.554208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11241	5823.616082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1768	915.946378	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	679	351.768999	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	16	8.289107	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	1.036138	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	9	4.662623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	19	9.843315	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	16	8.289107	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	9	4.662623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	688	356.431622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1717	889.524848	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	11172	5787.869306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	318	164.746011	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112780:+	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.518069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.554208	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	22	11.397523	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	8.807177	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	1.036138	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.518069	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	1.036138	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.518069	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.518069	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.518069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	2	1.036138	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	191	98.951221	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4479	2320.432028	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2766	1432.979458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13811	7155.053972	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3033	1571.303939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	3.108415	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	2	1.036138	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.518069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.518069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.518069	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	9	4.662623	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	57	29.529945	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.518069	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.518069	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.518069	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	1.554208	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	10	5.180692	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	15	7.771038	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	10	5.180692	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	86	44.553953	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	101	52.324991	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1235	639.815484	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	84	43.517814	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	1.036138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	1.036138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	5.180692	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	35	18.132423	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.518069	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	27	13.987869	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	35	18.132423	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	271	140.396758	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	29	15.024007	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.518069	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.518069	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.518069	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	34	17.614353	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	127	65.794791	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	543	281.311585	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	2.072277	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.518069	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	8	4.144554	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	21	10.879454	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692812:+	1	0.518069	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	30	15.542077	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	189	97.915082	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1014	525.322187	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	48	24.867322	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	4	2.072277	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	1.554208	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	10	5.180692	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	1	0.518069	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	4	2.072277	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	132	68.385137	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	549	284.420001	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	4781	2476.888932	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	27	13.987869	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.518069	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	1.036138	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	11	5.698761	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	7	3.626485	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	2	1.036138	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176427:+	1	0.518069	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.518069	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176408-94176430:+	2	1.036138	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.518069	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	2.590346	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557243-53557268:-	1	0.518069	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	4	2.072277	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	195	101.023498	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.518069	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	4804	2488.804524	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	3	1.554208	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	522	270.432132	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	2.072277	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	92	47.662368	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.518069	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	3	1.554208	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	1	0.518069	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.518069	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	3	1.554208	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	1.036138	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	29	15.024007	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	25	12.951730	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	2	1.036138	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	604	312.913808	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	9	4.662623	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	55	28.493807	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	9	4.662623	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	1	0.518069	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603711:+	5	2.590346	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	114	59.059891	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	139	72.011621	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	562	291.154901	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	2	1.036138	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603716:+	1	0.518069	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	16	8.289107	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	32	16.578215	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	55	28.493807	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554371:+	1	0.518069	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	7	3.626485	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829014-21829037:-	1	0.518069	N	mature,MIMAT0000416
