miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.185134	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.370268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.555402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	3.702678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.185134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	77	14.255310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2983	552.254412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7049	1305.008835	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	32076	5938.354856	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	801	148.292251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	40	7.405356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.370268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	2	0.370268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	2.036473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.370268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.370268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.185134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.185134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	3	0.555402	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.185134	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176009-94176033:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	2.406741	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	78	14.440444	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	53	9.812097	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.555402	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.555402	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.740536	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	15	2.777008	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.370268	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	3.887812	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.481071	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.370268	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	2.591875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	838	155.142205	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.555402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.666205	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	32264	5973.160028	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	19	3.517544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.185134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6965	1289.457587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	24	4.443214	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2919	540.405843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	1.481071	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	71	13.144507	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.185134	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.370268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.185134	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	78	14.440444	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	248	45.913206	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	289	53.503696	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	11	2.036473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	59	10.922900	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3008	556.882760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6975	1291.308926	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	32590	6033.513678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	811	150.143590	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.555402	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	1.110803	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	0.740536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.185134	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112818:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112799-46112821:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	17	3.147276	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	67	12.403971	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	57	10.552632	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	3	0.555402	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.370268	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.370268	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	11	2.036473	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.185134	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	3	0.555402	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	5	0.925669	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113687-46113713:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.370268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.110803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	26	4.813481	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	660	122.188372	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16540	3062.114644	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7498	1388.133954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	26841	4969.178909	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4701	870.314446	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	9	1.666205	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.370268	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	0.925669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.555402	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113715:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113719:+	1	0.185134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113764:+	1	0.185134	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.185134	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	29	5.368883	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	109	20.179595	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.185134	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.185134	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	9	1.666205	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	13	2.406741	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	12	2.221607	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.185134	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	12	2.221607	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	57	10.552632	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	81	14.995846	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	113	20.920130	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	10	1.851339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	205	37.952449	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1436	265.852275	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1445	267.518480	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	15075	2790.893486	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	652	120.707300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	7	1.295937	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	3	0.555402	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	9	1.666205	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.185134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539883:+	1	0.185134	N	stemloop
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.185134	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	7	1.295937	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	92	17.032318	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	252	46.653742	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	9	1.666205	N	mature,MIMAT0026472
