miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.230341	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.460682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.382045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	1.842727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	45	10.365337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1508	347.353948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3238	745.843558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10697	2463.955693	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	174	40.079302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.842727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.460682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.460682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.230341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.230341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.230341	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.612386	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.691022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.230341	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.230341	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	3.455112	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	26	5.988861	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	38	8.752951	N	mature,MIMAT0004481
