miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175962:+	1	0.269124	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	2	0.538249	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.269124	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.269124	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.614747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.807373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	2.152996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	155	41.714290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4327	1164.501516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8452	2274.639891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18322	4930.898259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	176	47.365904	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.269124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.269124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.538249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.152996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.269124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.538249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	2.691245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	47	12.648849	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.269124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	2.152996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.538249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.538249	N	mature,MIMAT0000062
