miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.716159	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.716159	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.432318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.074238	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	4.296954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	57	20.410531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3218	1152.299801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5667	2029.236474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15147	5423.830047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	339	121.388947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	2.864636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.864636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.358079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.716159	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.358079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.358079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.358079	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.358079	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.358079	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.358079	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	5.371192	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	16.829736	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	8.951987	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.358079	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.358079	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.716159	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.358079	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.358079	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.716159	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.358079	N	mature,MIMAT0010195
