miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.588647	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.588647	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.588647	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	6.475113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	71	41.793912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1536	904.161261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3438	2023.767197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9922	5840.552103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	377	221.919789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	6.475113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	2.354587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	36	21.191280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.765940	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	2.943233	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	21	12.361580	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	3.531880	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175974-94175995:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.354587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	2.943233	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	10	5.886467	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.177293	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.588647	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.588647	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.588647	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.588647	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.765940	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	384	226.040315	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	10	5.886467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	5.886467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	31	18.248046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9899	5827.013230	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	2.943233	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	4.120527	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3515	2069.092990	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1534	902.983968	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	51	30.020979	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	7.063760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	16	9.418346	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	10	5.886467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	72	42.382559	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1525	897.686148	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3503	2062.029230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9859	5803.467364	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	381	224.274375	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	1.765940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	33	19.425340	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	3.531880	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	1.177293	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	10	5.886467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.588647	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.177293	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	7.063760	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	9	5.297820	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	2.354587	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	4.120527	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	23	13.538873	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	737	433.832584	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	13345	7855.489601	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3239	1906.626513	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5326	3135.132081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1155	679.886886	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.177293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.588647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	11	6.475113	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	9	5.297820	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	24	14.127520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	9	5.297820	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.588647	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	1.177293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	2.943233	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	2.943233	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	1.765940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.177293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	1.177293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	5	2.943233	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.588647	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.588647	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	1.765940	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	17	10.006993	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	1.177293	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	1.765940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	2	1.177293	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	50	29.432333	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	208	122.438504	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	157	92.417525	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	480	282.550394	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	24	14.127520	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	1.765940	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.588647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.588647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539905:+	4	2.354587	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178821-94178841:+	1	0.588647	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	1.177293	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	1.765940	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.588647	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	52	30.609626	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	174	102.424518	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	572	336.705886	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	68	40.027972	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	1.177293	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	2	1.177293	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	10	5.886467	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	43	25.311806	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	4	2.354587	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	1	0.588647	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	8	4.709173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	2	1.177293	N	mature,MIMAT0000065
