miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.294757	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.147379	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.589515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	0.736894	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	33	4.863499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	95	14.000981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3768	555.323107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9867	1454.186065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	44135	6504.560856	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1319	194.392563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	75	11.053406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.589515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.294757	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.442136	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	0.884272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	3	0.442136	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.147379	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.147379	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	2.358060	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	45	6.632043	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	59	8.695346	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.442136	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.147379	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.294757	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	10	1.473787	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.442136	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.442136	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.589515	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	29	4.273984	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1358	200.140334	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.589515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	0.736894	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.179030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	43746	6447.230525	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.736894	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.294757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10002	1474.082195	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3776	556.502136	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.294757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	107	15.769526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.147379	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	31	4.568741	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	97	14.295738	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	111	16.359041	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	4	0.589515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	102	15.032632	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3931	579.345842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9844	1450.796354	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	43966	6479.653849	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1337	197.045380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.179030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	3	0.442136	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	0.736894	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112775:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.147379	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.031651	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.442136	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.147379	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	1.768545	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	44	6.484665	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	74	10.906027	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	5	0.736894	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.294757	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.294757	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.147379	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	1.621166	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	2.505439	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	865	127.482613	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16186	2385.472347	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9642	1421.025847	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	38336	5649.911521	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	9607	1415.867591	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	20	2.947575	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.294757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.147379	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	0.736894	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.147379	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.294757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.147379	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.147379	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	25	3.684469	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	104	15.327389	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.294757	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.147379	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.294757	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.294757	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	4	0.589515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	1.179030	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	36	5.305635	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	51	7.516316	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	65	9.579618	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.442136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	137	20.190888	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	864	127.335235	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1036	152.684379	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	9435	1390.518447	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	604	89.016761	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	0.736894	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.147379	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	1	0.147379	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.442136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.147379	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	0.589515	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	20	2.947575	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	55	8.105831	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	6	0.884272	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.147379	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.147379	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	60	8.842725	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	174	25.643901	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	918	135.293687	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	118	17.390692	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	9	1.326409	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.147379	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.294757	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	20	2.947575	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.294757	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	1	0.147379	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	36	5.305635	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	210	30.949536	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1105	162.853512	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	5	0.736894	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	0.442136	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.442136	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	47	6.926801	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.147379	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	5	0.736894	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	1	0.147379	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	215	31.686430	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	917	135.146308	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3805	560.776120	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	158	23.285842	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	27	3.979226	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	2	0.294757	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.147379	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.294757	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	7	1.031651	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	23	3.389711	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	9	1.326409	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	19	2.800196	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	954	140.599322	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	4027	593.494201	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	24620	3628.464672	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	128	18.864479	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	8	1.179030	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176378:+	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	3	0.442136	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176380:+	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	18	2.652817	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	8	1.179030	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176382:+	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176384:+	4	0.589515	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176403-94176424:+	1	0.147379	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	1	0.147379	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176428:+	1	0.147379	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	11	1.621166	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176449:+	1	0.147379	N	precursor
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	0.442136	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.147379	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557241-53557263:-	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	12	1.768545	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1044	153.863408	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.294757	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	24584	3623.159037	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	23	3.389711	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.147379	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	4002	589.809733	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	5	0.736894	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	949	139.862428	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	27	3.979226	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	18	2.652817	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	4	0.589515	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557291:-	1	0.147379	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557293:-	1	0.147379	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.147379	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	4	0.589515	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	55	8.105831	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.147379	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	1	0.147379	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268302:-	1	0.147379	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	131	19.306615	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.147379	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	2	0.294757	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	1	0.147379	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	2251	331.749552	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	26	3.831847	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268357:-	1	0.147379	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	369	54.382756	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	4	0.589515	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	48	7.074180	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	5	0.736894	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	7	1.031651	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268359:-	1	0.147379	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	3	0.442136	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	2	0.294757	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268358-52268382:-	1	0.147379	N	precursor
hsa-let-7i	hg38:chr12:62603668-62603691:+	2	0.294757	N	precursor
hsa-let-7i	hg38:chr12:62603670-62603691:+	1	0.147379	N	precursor
hsa-let-7i	hg38:chr12:62603672-62603691:+	1	0.147379	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	6	0.884272	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	22	3.242332	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	832	122.619115	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	762	112.302603	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	2624	386.721824	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	21	3.094954	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603716:+	1	0.147379	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	6	0.884272	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	3	0.442136	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.147379	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603713:+	1	0.147379	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603714:+	1	0.147379	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	88	12.969329	N	mature,MIMAT0004585
