miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175985:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.902105	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	52	37.727362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1409	1022.266399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2526	1832.679151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5378	3901.879838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	92	66.748409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	3.627631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	4.353157	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	48	34.825257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	12	8.706314	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	5.078683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	2.176579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	2	1.451052	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	5.804210	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	14	10.157367	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	5.078683	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.451052	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.725526	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	2.176579	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.725526	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	87	63.120778	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	5.804210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	8.706314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	44	31.923152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5386	3907.684048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	2.176579	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	5.804210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2429	1762.303110	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1531	1110.780594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	58	42.080519	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.725526	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	2.902105	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	25	18.138155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	21	15.236050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	13	9.431840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	61	44.257097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1388	1007.030349	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2531	1836.306781	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5315	3856.171689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	106	76.905776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	2.176579	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	33	23.942364	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	5.804210	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	1.451052	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112779:+	1	0.725526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	2	1.451052	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	7.980788	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	13.784998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	2.176579	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112821:+	1	0.725526	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	5.078683	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	42	30.472100	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	952	690.700931	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	14072	10209.604516	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4744	3441.896235	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8509	6173.502333	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1044	757.449340	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	27	19.589207	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	17	12.333945	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	77	55.865516	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	14	10.157367	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.725526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.725526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	4	2.902105	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	5.804210	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	1.451052	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.725526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	5.078683	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	2.176579	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.725526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.725526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.725526	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	2.902105	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	2.176579	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	22	15.961576	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	41	29.746574	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.725526	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	1	0.725526	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.725526	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	2.176579	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	2	1.451052	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	1	0.725526	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	29	21.040259	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	88	63.846305	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	59	42.806045	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	163	118.260769	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	7	5.078683	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.725526	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.725526	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	1	0.725526	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.725526	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.725526	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	2.176579	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	6	4.353157	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	1.451052	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	41	29.746574	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	80	58.042095	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	179	129.869188	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	13	9.431840	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	2	1.451052	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	2.902105	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	19	13.784998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	7	5.078683	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	3	2.176579	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178864:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178864:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178864:+	1	0.725526	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178915:+	1	0.725526	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.725526	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.725526	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	3.627631	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	72	52.237886	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	145	105.201297	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	218	158.164709	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178913:+	1	0.725526	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178914:+	1	0.725526	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	7	5.078683	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	13	9.431840	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	30	21.765786	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	2	1.451052	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.725526	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.725526	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.725526	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	7	5.078683	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	3	2.176579	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	45	32.648678	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	170	123.339452	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	306	222.011013	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	10	7.255262	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.725526	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	5	3.627631	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.725526	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	4	2.902105	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	2.176579	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	3	2.176579	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	1.451052	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	33	23.942364	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	18	13.059471	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	266	192.989966	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	905	656.601200	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	2928	2124.340678	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	7	5.078683	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.725526	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	9	6.529736	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	52	37.727362	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176376:+	1	0.725526	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	3	2.176579	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	18	13.059471	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	4	2.902105	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176404-94176426:+	1	0.725526	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176408-94176430:+	1	0.725526	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	3	2.176579	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	6	4.353157	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176410-94176430:+	1	0.725526	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	2.176579	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	2	1.451052	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	4	2.902105	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	53	38.452888	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	2	1.451052	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.725526	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	57	41.354993	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	2845	2064.122004	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	2	1.451052	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557270:-	1	0.725526	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	4	2.902105	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	917	665.307514	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	1	0.725526	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	1	0.725526	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	277	200.970754	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	21	15.236050	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	24	17.412629	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	2	1.451052	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	4	2.902105	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.725526	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.725526	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557289:-	1	0.725526	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	3	2.176579	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	1.451052	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268300:-	1	0.725526	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	42	30.472100	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	4	2.902105	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268354:-	1	0.725526	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268355:-	1	0.725526	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	7	5.078683	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	2	1.451052	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	2	1.451052	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	12	8.706314	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	353	256.110744	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	8	5.804210	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	2	1.451052	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268357:-	5	3.627631	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	84	60.944200	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	19	13.784998	N	mature,MIMAT0000414
