miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	1.131021	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.377007	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	2	0.377007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	1.885034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.450545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	3.958572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1204	226.958141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	21942	4136.142462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	43074	8119.597138	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	51876	9778.804409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	498	93.874713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.319524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.377007	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	18	3.393062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	67	12.629730	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	104	19.604358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.565510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	31	5.843607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	53	9.990682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.319524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	2.450545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.754014	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.188503	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.188503	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.188503	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	2.639048	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	4.712586	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	2.262041	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.377007	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.188503	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.377007	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.377007	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.188503	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.565510	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.942517	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.188503	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.754014	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	527	99.341312	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	5	0.942517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	13	2.450545	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	52	9.802179	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	4	0.754014	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	102	19.227351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	51672	9740.349708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.942517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.377007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	42	7.917144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	6	1.131021	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	63	11.875717	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	43324	8166.722998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	2.073538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	4	0.754014	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	27	5.089593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	21909	4129.921848	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.377007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	1176	221.680044	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	4	0.754014	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146592:-	1	0.188503	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.188503	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.188503	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	17	3.204558	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.754014	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	103	19.415854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	130	24.505447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	30	5.655103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	1192	224.696099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	21896	4127.471304	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	43078	8120.351152	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	52176	9835.355441	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	488	91.989678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	30	5.655103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	61	11.498710	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	106	19.981365	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.377007	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	8	1.508028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.377007	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	27	5.089593	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	47	8.859662	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.565510	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	5	0.942517	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	9	1.696531	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.188503	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	4	0.754014	N	mature,MIMAT0000062
