miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.196872	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	3	0.590615	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.590615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.787486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	0.787486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	410	80.717353	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11654	2294.341536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13710	2699.109530	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19193	3778.556471	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	224	44.099237	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.787486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.196872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	1.181230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.574973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	2.165588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.393743	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.196872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.196872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.181230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	27	5.315533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.393743	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.196872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.196872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.590615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	1.181230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.393743	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.196872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.196872	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.196872	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.393743	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	3	0.590615	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	89	17.521572	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	97	19.096544	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	2.362459	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.196872	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.196872	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.393743	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176034:+	1	0.196872	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	3.346817	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	2.165588	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	12	2.362459	N	mature,MIMAT0010195
