miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.360593	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.721186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.721186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	336	121.159191	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6859	2473.306214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12933	4663.547058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16926	6103.394224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	133	47.958846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.081778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.360593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	3.245335	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	4.327114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	23	8.293635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.360593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.360593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	16	5.769485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	38	13.702528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	2.163557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	3.966521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.360593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.721186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.721186	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.721186	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	21	7.572449	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	42	15.144899	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	4.327114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.360593	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.721186	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176033:+	1	0.360593	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.360593	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.360593	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.360593	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.360593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	112	40.386397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.721186	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	2.884743	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	33	11.899563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.721186	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	22	7.933042	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16746	6038.487515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	2.163557	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	18	6.490671	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	4.687707	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12820	4622.800068	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.442371	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	1.442371	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7149	2577.878135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.721186	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	371	133.779940	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.360593	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.721186	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.360593	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	1.442371	N	mature,MIMAT0000062
