miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.473996	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.710994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	3.317973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	45	10.664915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2321	550.072604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5507	1305.148571	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17513	4150.547833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	552	130.822955	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	22	5.213958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.710994	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.184991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.947992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	18	4.265966	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	62	14.693883	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	5.213958	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	0.947992	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.710994	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.236998	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.895985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	551	130.585956	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.947992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	1.421989	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17738	4203.872407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5348	1267.465872	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.184991	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2281	540.592680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	56	13.271894	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.710994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	31	7.346941	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	57	13.508892	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	61	14.456884	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	50	11.849905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2289	542.488665	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5569	1319.842453	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17654	4183.964566	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	538	127.504981	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.710994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	0.947992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.236998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.710994	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.473996	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112796-46112819:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	2.843977	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	62	14.693883	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	25	5.924953	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	3	0.710994	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.473996	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.473996	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.236998	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.236998	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.473996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	0.947992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	319	75.602396	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7999	1895.747851	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3643	863.384101	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12793	3031.916772	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3034	719.052254	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.473996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.236998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.236998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.710994	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.236998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.473996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.236998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.236998	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	0.947992	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	36	8.531932	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.236998	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.236998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	8	1.895985	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	13	3.080975	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	11	2.606979	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	43	10.190919	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	224	53.087576	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	211	50.006600	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1137	269.466847	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	92	21.803826	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.236998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	1	0.236998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.236998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.236998	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	1	0.236998	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	4	0.947992	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.236998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.236998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.473996	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	97	22.988816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	277	65.648475	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1084	256.905947	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	91	21.566828	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.473996	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	3.080975	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178872:+	1	0.236998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.236998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178861:+	1	0.236998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178916:+	1	0.236998	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178892-94178918:+	1	0.236998	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.236998	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.236998	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	103	24.410805	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	360	85.319318	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1205	285.582718	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	10	2.369981	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	2	0.473996	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.473996	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	15	3.554972	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	83	19.670843	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.236998	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692764-51692793:+	1	0.236998	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.236998	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	1	0.236998	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	1.421989	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	80	18.959848	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	382	90.533277	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1158	274.443807	N	mature,MIMAT0000066
