miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175940-94175962:+	1	0.275810	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.275810	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.482293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	54	14.893758	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1833	505.560336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4035	1112.894685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22862	6305.575782	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	620	171.002405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	7.998500	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	2.482293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.551621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.275810	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.275810	N	stemloop
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.275810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	3.309724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	10.756603	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	74	20.409964	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	1.103241	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	8	2.206483	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.827431	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	3.309724	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.379052	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.551621	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	2.206483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	624	172.105646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	1.379052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	3.585534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.827431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22453	6192.769356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4190	1155.645286	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.551621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.275810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1778	490.390768	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	45	12.411465	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	29	7.998500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	62	17.100241	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	89	24.547119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.551621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	45	12.411465	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1743	480.737407	N	mature,MIMAT0000062
