miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	2	0.181802	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	9	0.818108	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.090901	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	4	0.363604	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.090901	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.181802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	21	1.908919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	36	3.272432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	33	2.999729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.090901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	2935	266.794098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	45383	4125.354866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	81272	7387.696729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	74991	6816.748270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1030	93.627912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	34	3.090630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	22	1.999819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	29	2.636126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	47	4.272342	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.090901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	7	0.636306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	5	0.454504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.272703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	69	6.272161	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	56	5.090450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.090901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	6	0.545405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	17	1.545315	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	7	0.636306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.090901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.090901	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.090901	N	stemloop
