miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.800992	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	41	32.840670	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1626	1302.412908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2455	1966.435233	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2241	1795.022956	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	34	27.233726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.800992	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176032:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	9.611903	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	4.004960	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	1.601984	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.800992	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.601984	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	24	19.223807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2232	1787.814029	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2445	1958.425314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	1.601984	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1648	1320.034731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	37	29.636702	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146578-122146597:-	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.800992	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	11.213887	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	7	5.606944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	40	32.039678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1611	1290.398029	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2420	1938.400515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2238	1792.619981	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	26	20.825791	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.800992	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	8.810911	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	10.412895	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	3.203968	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.800992	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	3.203968	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	4.805952	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	397	317.993804	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6624	5305.770666	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3099	2482.274048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3975	3183.942995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	390	312.386860	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.800992	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.800992	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	12.014879	N	mature,MIMAT0004482
