miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	1.094116	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.094116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.008819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	98	26.805846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4809	1315.401134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6238	1706.274127	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16143	4415.579229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	211	57.714627	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.914703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.188232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	1.094116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	3.008819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	5	1.367645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175992:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175970-94175994:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176006-94176029:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	3	0.820587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	24	6.564697	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	43	11.761749	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	14	3.829407	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.641174	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.273529	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.547058	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.273529	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	214	58.535214	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.367645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	2.188232	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16336	4468.370333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.094116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.820587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6111	1671.535939	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4767	1303.912915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.094116	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	95	25.985258	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	30	8.205871	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	22	6.017639	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	7.111755	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	103	28.173491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4871	1332.359935	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6169	1687.400623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16425	4492.714417	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	220	60.176388	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	1.641174	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	11	3.008819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	3.282348	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.820587	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112778:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112779:+	2	0.547058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112780:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112781:+	1	0.273529	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	2	0.547058	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	3	0.820587	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112795-46112818:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	31	8.479400	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	40	10.941161	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	3.555877	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.273529	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.547058	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	2	0.547058	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.273529	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	21	5.744110	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	18	4.923523	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2118	579.334498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	21238	5809.209668	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9194	2514.825958	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21214	5802.644971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2553	698.319629	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.547058	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	2.461761	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	1.094116	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	16	4.376465	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.820587	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.273529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	1.914703	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.547058	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.547058	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113718:+	1	0.273529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113719:+	1	0.273529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.820587	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	57	15.591155	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	59	16.138213	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	1.094116	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	8	2.188232	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	1.914703	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	5	1.367645	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	74	20.241149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	258	70.570491	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	242	66.194027	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	742	202.958545	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	22	6.017639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.273529	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.273529	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.273529	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	8	2.188232	N	mature,MIMAT0026472
