miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.197958	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.593874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	1.880601	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	39	3.860181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	263	26.031478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8129	804.600306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20511	2030.158308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	49166	4866.401607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1558	154.209285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	4.652013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.098979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	6	0.593874	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	0.989790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	34	3.365286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.098979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.197958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.197958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.197958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.098979	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.098979	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176013:+	1	0.098979	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.197958	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.098979	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	1.088769	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	4.652013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	50	4.948950	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.098979	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176037:+	1	0.098979	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.098979	N	mature,MIMAT0004481
