miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.208130	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.416259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.624389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.665037	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	19	3.954462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	75	15.609719	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2261	470.580987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7403	1540.783304	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31212	6496.140549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	728	151.518337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	23	4.786980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.624389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.832518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.832518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.416259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175992:+	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.208130	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.208130	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.208130	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.040648	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	2.705685	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	5.203240	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.208130	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	13	2.705685	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	29	6.035758	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.248777	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.832518	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.208130	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	2.497555	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.416259	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146588:-	1	0.208130	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	692	144.025672	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.624389	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.665037	N	mature,MIMAT0000062
