miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.383915	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	7	2.687408	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	3.839155	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	117	44.918111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4062	1559.464668	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5991	2300.037624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13930	5347.942597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	384	147.423543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	3.455239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.535662	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.383915	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.383915	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	22	8.446140	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	15.740535	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	11	4.223070	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.383915	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.151746	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	393	150.878783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.151746	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	3.071324	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13860	5321.068514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5796	2225.174106	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3848	1477.306756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	104	39.927210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.383915	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	4.606986	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	18	6.910479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	10	3.839155	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	109	41.846787	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3945	1514.546557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5897	2263.949569	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13802	5298.801416	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	354	135.906079	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.535662	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.383915	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.767831	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.383915	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	16	6.142648	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	35	13.437042	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	9	3.455239	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.383915	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	2.687408	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	12	4.606986	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	603	231.501033	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8181	3140.812519	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4342	1666.961002	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10106	3879.849812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1917	735.965970	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.767831	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.767831	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	1.151746	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	1.151746	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.383915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.383915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	1.151746	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.383915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.383915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.383915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.383915	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.383915	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	1.151746	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	42	16.124450	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	98	37.623717	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.383915	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.383915	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	17	6.526563	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	18	6.910479	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	20	7.678310	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.383915	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	174	66.801293	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	922	353.970070	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	970	372.398013	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5001	1919.961301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	207	79.470504	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.383915	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	1.535662	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	1.151746	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.383915	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.383915	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.383915	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	2.303493	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	35	13.437042	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	42	16.124450	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539905-16539932:+	1	0.383915	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.383915	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.383915	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.383915	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.767831	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	124	47.605519	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	158	60.658645	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	403	154.717937	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	39	14.972704	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.383915	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	1.919577	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.383915	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.767831	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	158	60.658645	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	289	110.951573	N	mature,MIMAT0004484
