miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.840311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.680622	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	37	10.363838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1977	553.765070	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4272	1196.603126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15308	4287.827868	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	394	110.360869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.520934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.120415	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.960726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.280104	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.280104	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	16	4.481660	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	38	10.643942	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	5.882178	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	6	1.680622	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	1.120415	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.840311	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.280104	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.400519	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.280104	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.680622	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	400	112.041491	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.400519	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15349	4299.312121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.840311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4234	1185.959184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	1.960726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1933	541.440506	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	1.400519	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	32	8.963319	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.280104	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	51	14.285290	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	68	19.047054	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	39	10.924045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.560207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	35	9.803630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1996	559.087041	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4304	1205.566445	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15262	4274.943097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	401	112.321595	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.840311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.840311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.280104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	14	3.921452	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	46	12.884771	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	28	7.842904	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.280104	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.560207	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.840311	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	1.120415	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.280104	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.560207	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	3	0.840311	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.280104	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	9	2.520934	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	5.321971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	624	174.784726	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15159	4246.092413	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5514	1544.491956	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	16990	4758.962339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3607	1010.334147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	1.680622	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.840311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	2.240830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.280104	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.680622	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.840311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.120415	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	5	1.400519	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.560207	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.280104	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.560207	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	32	8.963319	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	137	38.374211	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.560207	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	3	0.840311	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	4	1.120415	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	10	2.801037	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	39	10.924045	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	62	17.366431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	44	12.324564	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.560207	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	140	39.214522	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	695	194.672091	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	812	227.444227	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5096	1427.408598	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	206	57.701368	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.560207	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.280104	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539878-16539900:+	1	0.280104	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539880-16539904:+	1	0.280104	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.280104	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	0.560207	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	0.840311	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	46	12.884771	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	110	30.811410	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.280104	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.280104	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	36	10.083734	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	95	26.609854	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	424	118.763981	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	29	8.123008	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.280104	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.280104	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178916:+	1	0.280104	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	0.840311	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	109	30.531306	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	258	72.266762	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	703	196.912921	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.560207	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.560207	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	15	4.201556	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	72	20.167468	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.280104	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.560207	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	1.120415	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	150	42.015559	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	896	250.972940	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2802	784.850646	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	80	22.408298	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	10	2.801037	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.280104	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.280104	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692857:+	1	0.280104	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	1	0.280104	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692856:+	1	0.280104	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	1.400519	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	29	8.123008	N	mature,MIMAT0004485
