miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.315819	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.579096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.579096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	127	40.109033	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4204	1327.703752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6476	2045.244885	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13292	4197.868284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	137	43.267225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	0.947457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	2.842372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	2.210734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	4.105649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.947457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.631638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.210734	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	5.684745	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	3.789830	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.315819	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.315819	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.631638	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.315819	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	39	12.316947	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	16	5.053107	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	12	3.789830	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.631638	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	170	53.689257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	2.210734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	18	5.684745	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.947457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13140	4149.863771	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.631638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.315819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.631638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6377	2013.978788	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	2.210734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	0.631638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4229	1335.599231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.263277	N	mature,MIMAT0000062
